annotation_text	cl_id	cl_label	article_id_pmc	enrichment	grounding_cl_id	grounding_cl_label	result
mammary stem cell	CL:0002451	mammary stem cell	10576046	{'name': 'mammary stem cell', 'full_name': 'mammary gland stem cell', 'paper_synonyms': 'mammary gland stem cells; MaSCs', 'tissue_context': 'mouse mammary gland'}	CL:0002451	mammary stem cell	TRUE
mammary stem cells	CL:0002451	mammary stem cell	10576046	{'name': 'mammary stem cells', 'full_name': 'mammary gland stem cells', 'paper_synonyms': 'mammary gland stem cells; MaSCs', 'tissue_context': 'mouse mammary gland'}	CL:0002451	mammary stem cell	TRUE
unipotent estrogen receptor-negative luminal progenitors	CL:4033057	luminal adaptive secretory precursor cell of mammary gland	10576046	{'name': 'unipotent estrogen receptor-negative luminal progenitors', 'full_name': 'unipotent estrogen receptor-negative luminal progenitors', 'paper_synonyms': None, 'tissue_context': 'mouse mammary gland'}	CL:0009116	progenitor cell of mammary luminal epithelium	FALSE
mammary epithelial cells	CL:0002327	mammary gland epithelial cell	10576046	{'name': 'mammary epithelial cells', 'full_name': 'mammary epithelial cells', 'paper_synonyms': None, 'tissue_context': 'mouse mammary gland'}	CL:0002327	mammary gland epithelial cell	TRUE
luminal cell	CL:0002326	luminal epithelial cell of mammary gland	10576046	{'name': 'luminal cell', 'full_name': 'luminal cell', 'paper_synonyms': None, 'tissue_context': 'mouse mammary gland'}	CL:0002326	luminal epithelial cell of mammary gland	TRUE
luminal cells	CL:0002326	luminal epithelial cell of mammary gland	10576046	{'name': 'luminal cells', 'full_name': 'luminal cells', 'paper_synonyms': None, 'tissue_context': 'mouse mammary gland'}	CL:0002326	luminal epithelial cell of mammary gland	TRUE
sickle and normal cells	CL:0000232	erythrocyte	10419148	{'name': 'sickle and normal cells', 'full_name': 'sickled red blood cells and normal red blood cells', 'paper_synonyms': 'red blood cells (RBCs); sickled RBCs; sickle cell erythrocytes; critically sickled cells; healthy RBCs', 'tissue_context': 'blood'}	CL:0000232	erythrocyte	TRUE
CCR2 + monocyte	CL:0000860	classical monocyte	10563327	{'name': 'CCR2 + monocyte', 'full_name': 'C–C chemokine receptor 2-positive monocyte', 'paper_synonyms': 'CCR2+ monocyte', 'tissue_context': 'Peripheral blood mononuclear cells (PBMCs)'}	CL:0000576	monocyte	FALSE
oligodendrocytes	CL:0000128	oligodendrocyte	10208966	{'name': 'oligodendrocytes', 'full_name': None, 'paper_synonyms': 'Oligo', 'tissue_context': 'Tissue was collected from the middle temporal gyrus and the anterior cingulate, primary visual, primary motor, primary somatosensory, and primary auditory cortices.'}	CL:0000128	oligodendrocyte	TRUE
astrocytes	CL:0000127	astrocyte	10208966	{'name': 'astrocytes', 'full_name': None, 'paper_synonyms': None, 'tissue_context': 'Tissue was collected from the middle temporal gyrus and the anterior cingulate, primary visual, primary motor, primary somatosensory, and primary auditory cortices.'}	CL:0000127	astrocyte	TRUE
radial glia	CL:0000681	radial glial cell	10208966	{'name': 'radial glia', 'full_name': None, 'paper_synonyms': 'RG', 'tissue_context': 'Cells were isolated from mid-gestational, 15 to 22 gestational weeks, from 17 samples of the human cortex.; The data set included ~4000 cells from the primary cortical (visual (V1) and prefrontal cortex (PFC)) and medial ganglionic eminence (MGE) across stages of peak neurogenesis, 5 to 37 post-conception weeks.'}	CL:0000681	radial glial cell	TRUE
RG	CL:0000681	radial glial cell	10208966	{'name': 'RG', 'full_name': 'radial glia', 'paper_synonyms': 'radial glia', 'tissue_context': 'Cells were isolated from mid-gestational, 15 to 22 gestational weeks, from 17 samples of the human cortex.; The data set included ~4000 cells from the primary cortical (visual (V1) and prefrontal cortex (PFC)) and medial ganglionic eminence (MGE) across stages of peak neurogenesis, 5 to 37 post-conception weeks.'}	CL:0000681	radial glial cell	TRUE
endothelial	CL:0000115	endothelial cell	10208966	{'name': 'endothelial', 'full_name': 'endothelial cells', 'paper_synonyms': None, 'tissue_context': 'Tissue was collected from the middle temporal gyrus and the anterior cingulate, primary visual, primary motor, primary somatosensory, and primary auditory cortices.'}	CL:0000115	endothelial cell	TRUE
pericytes	CL:0000669	pericyte	10208966	{'name': 'pericytes', 'full_name': None, 'paper_synonyms': None, 'tissue_context': 'Tissue was collected from the middle temporal gyrus and the anterior cingulate, primary visual, primary motor, primary somatosensory, and primary auditory cortices.'}	CL:0000669	pericyte	TRUE
gastric stem cells	CL:0002183	stem cell of gastric gland	10319429	{'name': 'gastric stem cells', 'full_name': 'gastric stem cells', 'paper_synonyms': None, 'tissue_context': 'isthmus of human gastric corpus; human gastric corpus epithelium'}	CL:0002183	stem cell of gastric gland	TRUE
gastric progenitor	CL:0002183	stem cell of gastric gland	10319429	{'name': 'gastric progenitor', 'full_name': 'gastric progenitor cells', 'paper_synonyms': None, 'tissue_context': 'isthmus of human gastric corpus; human gastric corpus epithelium'}	CL:0011026	progenitor cell	FALSE
gastric epithelial cells	CL:0002178	epithelial cell of stomach	10319429	{'name': 'gastric epithelial cells', 'full_name': 'human gastric corpus epithelial cells', 'paper_synonyms': None, 'tissue_context': 'human gastric corpus epithelium'}	CL:0002178	epithelial cell of stomach	TRUE
parietal cells	CL:0000162	parietal cell	10319429	{'name': 'parietal cells', 'full_name': 'parietal/oxyntic cells', 'paper_synonyms': 'oxyntic cells', 'tissue_context': 'human gastric corpus epithelium; corpus glands'}	CL:0000162	parietal cell	TRUE
neck cells	CL:0002181	mucous neck cell of gastric gland	10319429	{'name': 'neck cells', 'full_name': 'mucous neck cells', 'paper_synonyms': None, 'tissue_context': 'human gastric corpus epithelium; corpus glands'}	CL:0002181	mucous neck cell of gastric gland	TRUE
neck and endocrine cells	CL:0002181	mucous neck cell of gastric gland	10319429	{'name': 'neck and endocrine cells', 'full_name': 'mucous neck cells and endocrine cells', 'paper_synonyms': None, 'tissue_context': 'human gastric corpus epithelium; corpus glands'}	NO MATCH found		FALSE
gastric progenitor cells	CL:0002183	stem cell of gastric gland	10319429	{'name': 'gastric progenitor cells', 'full_name': 'gastric progenitor cells', 'paper_synonyms': None, 'tissue_context': 'isthmus of human gastric corpus; human gastric corpus epithelium'}	CL:0002183	stem cell of gastric gland	TRUE
endocrine cells	CL:0000163	endocrine cell	10319429	{'name': 'endocrine cells', 'full_name': 'endocrine cells', 'paper_synonyms': None, 'tissue_context': 'human gastric corpus epithelium; corpus glands'}	CL:0000163	endocrine cell	TRUE
progenitor cells	CL:0011026	progenitor cell	10319429	{'name': 'progenitor cells', 'full_name': 'progenitor cells', 'paper_synonyms': None, 'tissue_context': 'isthmus of human gastric corpus; human gastric corpus epithelium'}	CL:0011026	progenitor cell	TRUE
progenitor	CL:0002183	stem cell of gastric gland	10319429	{'name': 'progenitor', 'full_name': 'progenitor cells', 'paper_synonyms': None, 'tissue_context': 'isthmus of human gastric corpus; human gastric corpus epithelium'}	CL:0011026	progenitor cell	FALSE
stem	CL:0000034	stem cell	10319429	{'name': 'stem', 'full_name': 'stem cells', 'paper_synonyms': None, 'tissue_context': 'isthmus of human gastric corpus; human gastric corpus epithelium'}	CL:0000034	stem cell	TRUE
stem/progenitor cells	CL:0002183	stem cell of gastric gland	10319429	{'name': 'stem/progenitor cells', 'full_name': 'stem/progenitor cells', 'paper_synonyms': 'progenitor cluster; cycling progenitor cluster', 'tissue_context': 'isthmus of human gastric corpus; human gastric corpus epithelium'}	CL:0011026	progenitor cell	FALSE
Neutrophil	CL:0000775	neutrophil	10012539	{'name': 'Neutrophil', 'full_name': 'Neutrophil', 'paper_synonyms': '', 'tissue_context': 'alveolar bone marrow'}	CL:0000775	neutrophil	TRUE
Macrophage	CL:0000235	macrophage	10012539	{'name': 'Macrophage', 'full_name': 'Macrophage', 'paper_synonyms': '', 'tissue_context': 'alveolar bone marrow; long bone marrow'}	CL:0000235	macrophage	TRUE
Dendritic cell	CL:0000451	dendritic cell	10012539	{'name': 'Dendritic cell', 'full_name': 'Dendritic cell', 'paper_synonyms': '', 'tissue_context': 'alveolar bone marrow'}	CL:0000451	dendritic cell	TRUE
B cell	CL:0000236	B cell	10012539	{'name': 'B cell', 'full_name': 'B cell', 'paper_synonyms': '', 'tissue_context': 'alveolar bone marrow'}	CL:0000236	B cell	TRUE
Pro-B cell	CL:0000826	pro-B cell	10012539	{'name': 'Pro-B cell', 'full_name': 'Pro-B cell', 'paper_synonyms': '', 'tissue_context': 'alveolar bone marrow'}	CL:0000826	pro-B cell	TRUE
T cell	CL:0000084	T cell	10012539	{'name': 'T cell', 'full_name': 'T cell', 'paper_synonyms': '', 'tissue_context': 'alveolar bone marrow'}	CL:0000084	T cell	TRUE
Natural killer cell	CL:0000623	natural killer cell	10012539	{'name': 'Natural killer cell', 'full_name': 'Natural killer cell', 'paper_synonyms': '', 'tissue_context': 'alveolar bone marrow'}	CL:0000623	natural killer cell	TRUE
Megakaryocyte	CL:0000556	megakaryocyte	10012539	{'name': 'Megakaryocyte', 'full_name': 'Megakaryocyte', 'paper_synonyms': '', 'tissue_context': 'alveolar bone marrow'}	CL:0000556	megakaryocyte	TRUE
Erythrocyte	CL:0000232	erythrocyte	10012539	{'name': 'Erythrocyte', 'full_name': 'Erythrocyte', 'paper_synonyms': '', 'tissue_context': 'alveolar bone marrow'}	CL:0000232	erythrocyte	TRUE
Mesenchymal cell	CL:0008019	mesenchymal cell	10012539	{'name': 'Mesenchymal cell', 'full_name': 'Mesenchymal cell', 'paper_synonyms': '', 'tissue_context': 'alveolar bone marrow'}	CL:0008019	mesenchymal cell	TRUE
Myeloid progenitor	CL:0000049	common myeloid progenitor	10012539	{'name': 'Myeloid progenitor', 'full_name': 'Myeloid progenitor', 'paper_synonyms': '', 'tissue_context': 'alveolar bone marrow'}	CL:0000839	myeloid lineage restricted progenitor cell	FALSE
Endothelial Cell	CL:0000115	endothelial cell	10662149	{'name': 'Endothelial Cell', 'full_name': 'Endothelial Cell', 'paper_synonyms': None, 'tissue_context': 'tumor immune microenvironment in patients with TNBC'}	CL:0000115	endothelial cell	TRUE
Epithelial Cell	CL:0000066	epithelial cell	10662149	{'name': 'Epithelial Cell', 'full_name': 'Epithelial Cell', 'paper_synonyms': None, 'tissue_context': 'tumor immune microenvironment in patients with TNBC'}	CL:0000066	epithelial cell	TRUE
Fibroblast	CL:0000057	fibroblast	10662149	{'name': 'Fibroblast', 'full_name': 'Fibroblast', 'paper_synonyms': None, 'tissue_context': 'tumor immune microenvironment in patients with TNBC'}	CL:0000057	fibroblast	TRUE
Granulosa Cell	CL:0000501	granulosa cell	10662149	{'name': 'Granulosa Cell', 'full_name': 'Granulosa Cell', 'paper_synonyms': None, 'tissue_context': 'tumor immune microenvironment in patients with TNBC'}	CL:0000501	granulosa cell	TRUE
Leydig Cell	CL:0000178	Leydig cell	10662149	{'name': 'Leydig Cell', 'full_name': 'Leydig Cell', 'paper_synonyms': None, 'tissue_context': 'tumor immune microenvironment in patients with TNBC'}	CL:0000178	Leydig cell	TRUE
M1 Macrophage	CL:0000863	inflammatory macrophage	10662149	{'name': 'M1 Macrophage', 'full_name': 'M1 Macrophage', 'paper_synonyms': None, 'tissue_context': 'tumor immune microenvironment in patients with TNBC'}	CL:0000863	inflammatory macrophage	TRUE
M2 Macrophage	CL:0000890	alternatively activated macrophage	10662149	{'name': 'M2 Macrophage', 'full_name': 'M2 Macrophage', 'paper_synonyms': None, 'tissue_context': 'tumor immune microenvironment in patients with TNBC'}	CL:0000890	alternatively activated macrophage	TRUE
Memory T Cell	CL:0000813	memory T cell	10662149	{'name': 'Memory T Cell', 'full_name': 'Memory T Cell', 'paper_synonyms': None, 'tissue_context': 'tumor immune microenvironment in patients with TNBC'}	CL:0000813	memory T cell	TRUE
Mesenchymal Cell	CL:0008019	mesenchymal cell	10662149	{'name': 'Mesenchymal Cell', 'full_name': 'Mesenchymal Cell', 'paper_synonyms': None, 'tissue_context': 'tumor immune microenvironment in patients with TNBC'}	CL:0008019	mesenchymal cell	TRUE
Progenitor Cell	CL:0011026	progenitor cell	10662149	{'name': 'Progenitor Cell', 'full_name': None, 'paper_synonyms': None, 'tissue_context': 'tumor immune microenvironment in patients with TNBC'}	CL:0011026	progenitor cell	TRUE
Naive B Cell	CL:0000788	naive B cell	10662149	{'name': 'Naive B Cell', 'full_name': 'Naive B Cell', 'paper_synonyms': None, 'tissue_context': 'tumor immune microenvironment in patients with TNBC'}	CL:0000788	naive B cell	TRUE
Natural Killer (NK) Cell	CL:0000623	natural killer cell	10662149	{'name': 'Natural Killer (NK) Cell', 'full_name': 'Natural Killer (NK) Cell', 'paper_synonyms': 'NK Cell', 'tissue_context': 'tumor immune microenvironment in patients with TNBC'}	CL:0000623	natural killer cell	TRUE
Natural Killer T (NKT) Cell	CL:0000814	mature NK T cell	10662149	{'name': 'Natural Killer T (NKT) Cell', 'full_name': 'Natural Killer T (NKT) Cell', 'paper_synonyms': 'NKT Cell', 'tissue_context': 'tumor immune microenvironment in patients with TNBC'}	CL:0000814	mature NK T cell	TRUE
Neutrophil	CL:0000775	neutrophil	10662149	{'name': 'Neutrophil', 'full_name': 'Neutrophil', 'paper_synonyms': None, 'tissue_context': 'tumor immune microenvironment in patients with TNBC'}	CL:0000775	neutrophil	TRUE
Plasma Cell	CL:0000786	plasma cell	10662149	{'name': 'Plasma Cell', 'full_name': 'Plasma Cell', 'paper_synonyms': None, 'tissue_context': 'tumor immune microenvironment in patients with TNBC'}	CL:0000786	plasma cell	TRUE
Plasmacytoid Dendritic Cell	CL:0000784	plasmacytoid dendritic cell	10662149	{'name': 'Plasmacytoid Dendritic Cell', 'full_name': 'Plasmacytoid Dendritic Cell', 'paper_synonyms': None, 'tissue_context': 'tumor immune microenvironment in patients with TNBC'}	CL:0000784	plasmacytoid dendritic cell	TRUE
Regulatory T (Treg) Cell	CL:0000815	regulatory T cell	10662149	{'name': 'Regulatory T (Treg) Cell', 'full_name': 'Regulatory T (Treg) Cell', 'paper_synonyms': 'Treg Cell', 'tissue_context': 'tumor immune microenvironment in patients with TNBC'}	CL:0000815	regulatory T cell	TRUE
T Helper Cell	CL:0000912	helper T cell	10662149	{'name': 'T Helper Cell', 'full_name': 'T Helper Cell', 'paper_synonyms': None, 'tissue_context': 'tumor immune microenvironment in patients with TNBC'}	CL:0000912	helper T cell	TRUE
DC	CL:0000451	dendritic cell	10611473	{'name': 'DC', 'full_name': 'dendritic cell', 'paper_synonyms': 'dendritic cell', 'tissue_context': 'hemispheric WT pHGG'}	CL:0000451	dendritic cell	TRUE
mesenchymal cells	CL:0008019	mesenchymal cell	10576811	{'name': 'mesenchymal cells', 'full_name': 'mesenchymal cells', 'paper_synonyms': None, 'tissue_context': 'salivary glands (SG); mesenchyme'}	CL:0008019	mesenchymal cell	TRUE
MECs	CL:0000185	myoepithelial cell	10576811	{'name': 'MECs', 'full_name': 'myoepithelial cells', 'paper_synonyms': 'MEC; myoepithelial cells', 'tissue_context': 'salivary glands (SG); submandibular gland (SMG)'}	CL:0000185	myoepithelial cell	TRUE
acinar cells	CL:0000622	acinar cell	10576811	{'name': 'acinar cells', 'full_name': 'acinar cells', 'paper_synonyms': None, 'tissue_context': 'salivary glands (SG); submandibular gland (SMG); sublingual (SLG)'}	CL:0002623	acinar cell of salivary gland	FALSE
acinar and MECs	CL:0000622	acinar cell	10576811	{'name': 'acinar and MECs', 'full_name': 'acinar and myoepithelial cells', 'paper_synonyms': 'myoepithelial cells; MECs; MEC', 'tissue_context': 'salivary glands (SG); submandibular gland (SMG)'}	NO MATCH found		FALSE
acinar	CL:0000622	acinar cell	10576811	{'name': 'acinar', 'full_name': 'acinar cells', 'paper_synonyms': None, 'tissue_context': 'salivary glands (SG); submandibular gland (SMG); sublingual (SLG)'}	CL:0002623	acinar cell of salivary gland	FALSE
MEC	CL:0000185	myoepithelial cell	10576811	{'name': 'MEC', 'full_name': 'myoepithelial cells', 'paper_synonyms': 'MECs; myoepithelial cells', 'tissue_context': 'salivary glands (SG); submandibular gland (SMG)'}	CL:0000185	myoepithelial cell	TRUE
basal cells	CL:0000646	basal cell	10576811	{'name': 'basal cells', 'full_name': 'basal cells', 'paper_synonyms': 'basal duct cells', 'tissue_context': 'ducts; submandibular gland (SMG); salivary glands (SG)'}	CL:0000646	basal cell	TRUE
interneuron	CL:0008031	cortical interneuron	10332811	{'name': 'interneuron', 'full_name': 'GABAergic interneuron', 'paper_synonyms': 'inhibitory interneuron; GABAergic interneuron', 'tissue_context': 'supragranular layers of human neocortex'}	CL:0011005	GABAergic interneuron	FALSE
pyramidal	CL:4023111	cerebral cortex pyramidal neuron	10332811	{'name': 'pyramidal', 'full_name': 'pyramidal neuron', 'paper_synonyms': 'pyramidal neuron; pyramidal cell; excitatory pyramidal neuron; Pyr', 'tissue_context': 'supragranular layers of human neocortex'}	CL:0000598	pyramidal neuron	FALSE
T cells	CL:0000084	T cell	10040725	{'name': 'T cells', 'full_name': 'T lymphocytes', 'paper_synonyms': 'T lymphocytes', 'tissue_context': 'normal cervix without human papillomavirus (HPV) infection; HPV‐infected normal cervix; HPV‐infected high‐grade squamous intraepithelial lesions (HSIL); HPV‐infected cervical cancer'}	CL:0000084	T cell	TRUE
T lymphocytes	CL:0000084	T cell	10040725	{'name': 'T lymphocytes', 'full_name': 'T lymphocytes', 'paper_synonyms': 'T cells', 'tissue_context': 'normal cervix without human papillomavirus (HPV) infection; HPV‐infected normal cervix; HPV‐infected high‐grade squamous intraepithelial lesions (HSIL); HPV‐infected cervical cancer'}	CL:0000084	T cell	TRUE
CD8+ T cells	CL:0000625	CD8-positive, alpha-beta T cell	10040725	{'name': 'CD8+ T cells', 'full_name': 'CD8+ T cells', 'paper_synonyms': 'CD8+ T lymphocytes', 'tissue_context': 'normal cervix without human papillomavirus (HPV) infection; HPV‐infected normal cervix; HPV‐infected high‐grade squamous intraepithelial lesions (HSIL); HPV‐infected cervical cancer'}	CL:0000625	CD8-positive, alpha-beta T cell	TRUE
CD4+ T cells	CL:0000624	CD4-positive, alpha-beta T cell	10040725	{'name': 'CD4+ T cells', 'full_name': 'CD4+ T cells', 'paper_synonyms': 'CD4+ T lymphocytes', 'tissue_context': 'normal cervix without human papillomavirus (HPV) infection; HPV‐infected normal cervix; HPV‐infected high‐grade squamous intraepithelial lesions (HSIL); HPV‐infected cervical cancer'}	CL:0000624	CD4-positive, alpha-beta T cell	TRUE
CD8+ MAIT	CL:0000940	mucosal invariant T cell	10040725	{'name': 'CD8+ MAIT', 'full_name': 'CD8+ mucosa‐associated invariant T cells', 'paper_synonyms': 'MAIT; mucosa‐associated invariant', 'tissue_context': 'HSIL tissues, including glands, connective tissues and HSIL foci; normal cervix without human papillomavirus (HPV) infection; HPV‐infected normal cervix; HPV‐infected high‐grade squamous intraepithelial lesions (HSIL); HPV‐infected cervical cancer'}	CL:0000940	mucosal invariant T cell	TRUE
CD8+ Naive	CL:0000900	naive thymus-derived CD8-positive, alpha-beta T cell	10040725	{'name': 'CD8+ Naive', 'full_name': 'CD8+ naïve T cells', 'paper_synonyms': 'Tn', 'tissue_context': 'normal cervix without human papillomavirus (HPV) infection; HPV‐infected normal cervix; HPV‐infected high‐grade squamous intraepithelial lesions (HSIL); HPV‐infected cervical cancer'}	CL:0000900	naive thymus-derived CD8-positive, alpha-beta T cell	TRUE
CD8+ intraepithelial lymphocytes	CL:0000796	CD8-alpha-beta-positive, alpha-beta intraepithelial T cell	10040725	{'name': 'CD8+ intraepithelial lymphocytes', 'full_name': 'CD8+ intraepithelial lymphocytes', 'paper_synonyms': 'IEL; intraepithelial lymphocytes', 'tissue_context': 'normal cervix without human papillomavirus (HPV) infection; HPV‐infected normal cervix; HPV‐infected high‐grade squamous intraepithelial lesions (HSIL); HPV‐infected cervical cancer'}	CL:0000796	CD8-alpha-beta-positive, alpha-beta intraepithelial T cell	TRUE
IEL	CL:0000796	CD8-alpha-beta-positive, alpha-beta intraepithelial T cell	10040725	{'name': 'IEL', 'full_name': 'intraepithelial lymphocytes', 'paper_synonyms': 'intraepithelial lymphocytes', 'tissue_context': 'normal cervix without human papillomavirus (HPV) infection; HPV‐infected normal cervix; HPV‐infected high‐grade squamous intraepithelial lesions (HSIL); HPV‐infected cervical cancer'}	CL:0002496	intraepithelial lymphocyte	FALSE
CD8+ Tem	CL:0000913	effector memory CD8-positive, alpha-beta T cell	10040725	{'name': 'CD8+ Tem', 'full_name': 'CD8+ effector memory T cells', 'paper_synonyms': 'Tem; effector memory', 'tissue_context': 'normal cervix without human papillomavirus (HPV) infection; HPV‐infected normal cervix; HPV‐infected high‐grade squamous intraepithelial lesions (HSIL); HPV‐infected cervical cancer'}	CL:0000913	effector memory CD8-positive, alpha-beta T cell	TRUE
CD8+ Temra	CL:0001062	effector memory CD8-positive, alpha-beta T cell, terminally differentiated	10040725	{'name': 'CD8+ Temra', 'full_name': 'CD8+ recently activated effector memory T cells', 'paper_synonyms': 'TemRA; recently activated effector memory', 'tissue_context': 'normal cervix without human papillomavirus (HPV) infection; HPV‐infected normal cervix; HPV‐infected high‐grade squamous intraepithelial lesions (HSIL); HPV‐infected cervical cancer'}	CL:0001062	effector memory CD8-positive, alpha-beta T cell, terminally differentiated	TRUE
CD4+ Tem	CL:0000905	effector memory CD4-positive, alpha-beta T cell	10040725	{'name': 'CD4+ Tem', 'full_name': 'CD4+ effector memory T cells', 'paper_synonyms': 'Tem; effector memory', 'tissue_context': 'normal cervix without human papillomavirus (HPV) infection; HPV‐infected normal cervix; HPV‐infected high‐grade squamous intraepithelial lesions (HSIL); HPV‐infected cervical cancer'}	CL:0000905	effector memory CD4-positive, alpha-beta T cell	TRUE
CD4+ Th17	CL:0000899	T-helper 17 cell	10040725	{'name': 'CD4+ Th17', 'full_name': 'CD4+ Th17 T cells', 'paper_synonyms': 'Th17; Th17 T cells', 'tissue_context': 'normal cervix without human papillomavirus (HPV) infection; HPV‐infected normal cervix; HPV‐infected high‐grade squamous intraepithelial lesions (HSIL); HPV‐infected cervical cancer'}	CL:0000899	T-helper 17 cell	TRUE
CD4+ Naive	CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell	10040725	{'name': 'CD4+ Naive', 'full_name': 'CD4+ naïve T cells', 'paper_synonyms': 'naïve T cells', 'tissue_context': 'normal cervix without human papillomavirus (HPV) infection; HPV‐infected normal cervix; HPV‐infected high‐grade squamous intraepithelial lesions (HSIL); HPV‐infected cervical cancer'}	CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell	TRUE
CD4+ Treg	CL:0000792	CD4-positive, CD25-positive, alpha-beta regulatory T cell	10040725	{'name': 'CD4+ Treg', 'full_name': 'CD4+ regulatory T cells', 'paper_synonyms': 'Tregs; regulatory T cells', 'tissue_context': 'normal cervix without human papillomavirus (HPV) infection; HPV‐infected normal cervix; HPV‐infected high‐grade squamous intraepithelial lesions (HSIL); HPV‐infected cervical cancer'}	CL:0000792	CD4-positive, CD25-positive, alpha-beta regulatory T cell	TRUE
CD8+ T cell	CL:0000625	CD8-positive, alpha-beta T cell	10040725	{'name': 'CD8+ T cell', 'full_name': 'CD8+ T cells', 'paper_synonyms': 'CD8+ T lymphocytes', 'tissue_context': 'normal cervix without human papillomavirus (HPV) infection; HPV‐infected normal cervix; HPV‐infected high‐grade squamous intraepithelial lesions (HSIL); HPV‐infected cervical cancer'}	CL:0000625	CD8-positive, alpha-beta T cell	TRUE
CD4+ T cell	CL:0000624	CD4-positive, alpha-beta T cell	10040725	{'name': 'CD4+ T cell', 'full_name': 'CD4+ T cells', 'paper_synonyms': 'CD4+ T lymphocytes', 'tissue_context': 'normal cervix without human papillomavirus (HPV) infection; HPV‐infected normal cervix; HPV‐infected high‐grade squamous intraepithelial lesions (HSIL); HPV‐infected cervical cancer'}	CL:0000624	CD4-positive, alpha-beta T cell	TRUE
CD8+ T lymphocytes	CL:0000625	CD8-positive, alpha-beta T cell	10040725	{'name': 'CD8+ T lymphocytes', 'full_name': 'CD8+ T lymphocytes', 'paper_synonyms': 'CD8+ T cells', 'tissue_context': 'normal cervix without human papillomavirus (HPV) infection; HPV‐infected normal cervix; HPV‐infected high‐grade squamous intraepithelial lesions (HSIL); HPV‐infected cervical cancer'}	CL:0000625	CD8-positive, alpha-beta T cell	TRUE
CD4+ T lymphocytes	CL:0000624	CD4-positive, alpha-beta T cell	10040725	{'name': 'CD4+ T lymphocytes', 'full_name': 'CD4+ T lymphocytes', 'paper_synonyms': 'CD4+ T cells', 'tissue_context': 'normal cervix without human papillomavirus (HPV) infection; HPV‐infected normal cervix; HPV‐infected high‐grade squamous intraepithelial lesions (HSIL); HPV‐infected cervical cancer'}	CL:0000624	CD4-positive, alpha-beta T cell	TRUE
MECs	CL:0000185	myoepithelial cell	10216974	{'name': 'MECs', 'full_name': 'myoepithelial cells', 'paper_synonyms': 'myoepithelial cells', 'tissue_context': 'lacrimal gland (LG)'}	CL:0000185	myoepithelial cell	TRUE
stem cells	CL:0000034	stem cell	10216974	{'name': 'stem cells', 'full_name': 'stem cells', 'paper_synonyms': None, 'tissue_context': 'lacrimal gland (LG)'}	CL:0000034	stem cell	TRUE
mammary ductal cells	CL:0002326	luminal epithelial cell of mammary gland	10216974	{'name': 'mammary ductal cells', 'full_name': 'mammary ductal cells', 'paper_synonyms': None, 'tissue_context': 'mammary gland'}	CL:0002326	luminal epithelial cell of mammary gland	TRUE
tubular cells	CL:1000507	kidney tubule cell	10216974	{'name': 'tubular cells', 'full_name': 'tubular cells', 'paper_synonyms': None, 'tissue_context': 'kidney'}	CL:1000507	kidney tubule cell	TRUE
corneal limbal stem cells	CL:4033093	limbal epithelial stem cell of cornea	10216974	{'name': 'corneal limbal stem cells', 'full_name': 'corneal limbal stem cells', 'paper_synonyms': None, 'tissue_context': 'corneal epithelium'}	CL:4033093	limbal epithelial stem cell of cornea	TRUE
stem/progenitor cells	CL:0000034	stem cell	10216974	{'name': 'stem/progenitor cells', 'full_name': 'stem/progenitor cells', 'paper_synonyms': None, 'tissue_context': 'lacrimal gland (LG); basal ductal compartment of multilayered ducts'}	NO MATCH found		FALSE
M1 macrophages	CL:0000863	inflammatory macrophage	10105558	{'name': 'M1 macrophages', 'full_name': 'M1 macrophages', 'paper_synonyms': None, 'tissue_context': 'prostate cancer (PCa)'}	CL:0000863	inflammatory macrophage	TRUE
naive B cells	CL:0000788	naive B cell	10105558	{'name': 'naive B cells', 'full_name': 'naïve B cells', 'paper_synonyms': None, 'tissue_context': 'prostate cancer (PCa)'}	CL:0000788	naive B cell	TRUE
neutrophils	CL:0000775	neutrophil	10105558	{'name': 'neutrophils', 'full_name': 'neutrophils', 'paper_synonyms': None, 'tissue_context': 'prostate cancer (PCa)'}	CL:0000775	neutrophil	TRUE
CD8 T cells	CL:0000625	CD8-positive, alpha-beta T cell	10105558	{'name': 'CD8 T cells', 'full_name': 'CD8 T cells', 'paper_synonyms': None, 'tissue_context': 'prostate cancer (PCa)'}	CL:0000625	CD8-positive, alpha-beta T cell	TRUE
Tregs	CL:0000815	regulatory T cell	10105558	{'name': 'Tregs', 'full_name': 'T regulatory cells', 'paper_synonyms': 'T regulatory cells; T-regulatory cells', 'tissue_context': 'prostate cancer (PCa)'}	CL:0000815	regulatory T cell	TRUE
M2 macrophages	CL:0000890	alternatively activated macrophage	10105558	{'name': 'M2 macrophages', 'full_name': 'M2 macrophages', 'paper_synonyms': None, 'tissue_context': 'prostate cancer (PCa)'}	CL:0000890	alternatively activated macrophage	TRUE
OHC	CL:0000601	cochlear outer hair cell	10147377	{'name': 'OHC', 'full_name': 'outer hair cell', 'paper_synonyms': 'outer hair cell', 'tissue_context': 'cochlea; OHC region'}	CL:0000601	cochlear outer hair cell	TRUE
